country,country_code,year,gdp_per_capita,gni_per_capita,health_expenditure,population,mortality_rate
Singapore,SGP,2024,90674.066632628,74750,,6036860,128
Sint Maarten (Dutch part),SXM,2024,41472.5874498583,38950,,43350,
Slovak Republic,SVK,2024,25992.6748502048,23560,,5422069,328
Slovenia,SVN,2024,34301.0318686594,31790,9.87630939,2127400,40
Small states,SST,2024,15383.3425638674,14172.7462693778,,20193405,8297
Solomon Islands,SLB,2024,1933.55538435227,1910,,819198,431
"Somalia, Fed. Rep.",SOM,2024,629.538899449007,620,,19009151,78271
South Africa,ZAF,2024,6267.186814093,6110,,64007187,41435
South Asia,SAS,2024,2690.07883749003,2662.20844152326,,1677384532,736800
South Asia (IDA & IBRD),TSA,2024,2690.07883749003,2662.20844152326,,1677384532,736800
Spain,ESP,2024,35326.7683069278,33550,,48848840,1073
Sri Lanka,LKA,2024,4515.56787322732,3860,,21916000,1898
St. Kitts and Nevis,KNA,2024,23960.6534357084,22470,,46843,9
St. Lucia,LCA,2024,14181.6303351598,12640,,179744,35
St. Vincent and the Grenadines,VCT,2024,11501.2265187188,11060,,100616,14
Sub-Saharan Africa,SSF,2024,1532.92763550207,1597.37591752611,,1291044964,2931098
Sub-Saharan Africa (IDA & IBRD countries),TSS,2024,1532.92763550207,1597.37591752611,,1291044964,2931098
Sub-Saharan Africa (excluding high income),SSA,2024,1576.69166875191,1652.17079684644,,1158863843,2749846
Sudan,SDN,2024,984.607666015625,710,,50448963,101879
Suriname,SUR,2024,6961.78955961526,5690,,634431,171
Sweden,SWE,2024,57117.4877440616,58190,11.21510124,10569709,240
Switzerland,CHE,2024,103998.186685604,95220,,9005582,323
Tajikistan,TJK,2024,1341.20229027672,1650,,10590927,7590
Tanzania,TZA,2024,1186.71691894531,1210,,68560157,86317
Thailand,THA,2024,7346.62022142185,7100,,71668011,5285
Timor-Leste,TLS,2024,1331.9705130185,1650,,1400638,1449
Togo,TGO,2024,1119.38160509429,1080,,9515236,16109
Trinidad and Tobago,TTO,2024,18733.4110406494,19740,,1368333,301
Tunisia,TUN,2024,4181.13789301228,3880,,12277109,2027
Turkiye,TUR,2024,15892.7157287241,13460,,85518661,10356
Turkmenistan,TKM,2024,6856.65802730208,6510,,7494498,6208
Turks and Caicos Islands,TCA,2024,37506.7798431288,36760,,46535,2
Uganda,UGA,2024,1077.91278452817,1020,,50015092,82589
Ukraine,UKR,2024,5389.47314453125,5210,,37860221,1672
United Arab Emirates,ARE,2024,50273.5060469837,51550,,10986400,498
United Kingdom,GBR,2024,53246.3676145108,49470,11.133358,69226000,3213
United States,USA,2024,84534.0407841548,83490,,340110988,23685
Uruguay,URY,2024,23906.5133029408,21650,,3386588,250
Uzbekistan,UZB,2024,3161.70010632875,3020,,36361859,12452
Vanuatu,VUT,2024,3410.77023167097,3890,,327777,154
"Venezuela, RB",VEN,2024,4217.59102643391,3820,,28405543,10390
Viet Nam,VNM,2024,4717.29028732449,4490,,100987686,24085
West Bank and Gaza,PSE,2024,2592.30591217647,2710,,5289152,5544
World,WLD,2024,13631.2043097215,13442.5002837166,,8141808945,4857797
Zambia,ZMB,2024,1187.10943350064,1220,,21314956,32949
Zimbabwe,ZWE,2024,2497.20332208763,2400,,16634373,31802
