country,year,tumor_deaths,digestive_deaths,tumor_rank
乌克兰,2001,99653.652380478,29197.323115980165,2.0
乌兹别克斯坦,2001,12267.639868816457,9559.593167875579,3.0
乌干达,2001,16006.579826707359,5599.524858759644,8.0
乌拉圭,2001,8838.818096360521,1357.5879129876455,2.0
乍得,2001,3658.756028017828,3693.2954616180814,10.0
也门,2001,6022.4737324302505,4014.558144101063,6.0
亚美尼亚,2001,4765.400640211135,1391.8664530542312,2.0
以色列,2001,10606.440831728516,1427.7278074648111,2.0
伊拉克,2001,12678.878471908723,3307.27730557792,3.0
伊朗伊斯兰共和国,2001,42934.957400482905,9831.092337181324,2.0
伯利兹城,2001,163.72400105082778,58.56270889088662,2.0
佛得角,2001,306.07576294199475,106.13797573166349,2.0
俄罗斯,2001,305950.64486855053,73156.91477995136,2.0
保加利亚,2001,18192.595233900673,3105.521263795969,2.0
克罗地亚,2001,12905.63362272352,2506.153875561903,2.0
关岛,2001,107.94965736917638,27.411638116036904,2.0
冈比亚,2001,280.46235345758134,390.81092067975555,12.0
冰岛,2001,522.9505728889407,51.1285376103219,2.0
几内亚,2001,4174.945535206681,3880.157081210789,8.0
几内亚比绍,2001,406.7931887321612,530.2082992319812,11.0
刚果,2001,1363.1663475573266,990.7665178174473,8.0
刚果民主共和国,2001,24700.433636830647,13679.797759193432,9.0
利比亚,2001,2739.0547358577255,979.8936799999168,2.0
利比里亚,2001,1405.9058200831541,1172.1874782559905,9.0
加拿大,2001,69070.64077167367,8506.113042806506,2.0
加纳,2001,7986.011890895004,7685.323343478713,8.0
加蓬,2001,692.2726056431504,470.86182807114733,7.0
匈牙利,2001,33876.17250679764,9483.040628671366,2.0
北马其顿,2001,3504.740165989933,431.9194140040668,2.0
北马里亚纳群岛,2001,43.37511695141128,15.458156423682224,2.0
南苏丹,2001,4357.7245558990235,2242.7205657335885,9.0
南非,2001,34658.54592385653,10222.435603182408,4.0
博茨瓦纳,2001,1025.6749594101059,621.8441865030005,4.0
卡塔尔,2001,190.62360852165386,75.07241630738531,2.0
卢旺达,2001,5178.215206506245,2630.5206796103453,10.0
卢森堡公国,2001,1065.5039237125775,194.9954625331188,2.0
印度,2001,474257.1108318808,389328.38154803513,6.0
印度尼西亚,2001,100632.26055223857,105080.93738557077,4.0
危地马拉,2001,6982.898846635313,4866.680326845097,4.0
厄瓜多尔,2001,11796.313085449863,4797.73315457409,2.0
厄立特里亚国,2001,2253.642652986884,1711.2661997570863,8.0
古巴,2001,17758.896238922025,3005.6719508588794,2.0
吉尔吉斯斯坦,2001,3267.2437039709357,1987.932173675785,2.0
吉布提,2001,287.13703911957805,191.19519547745927,7.0
哈萨克斯坦,2001,21046.31230039138,6390.122492201147,2.0
哥伦比亚,2001,30248.750801417515,6944.661801894495,3.0
哥斯达黎加,2001,3498.0176948020553,1001.7179392936292,2.0
喀麦隆,2001,6585.858223149526,5186.938679131057,8.0
图瓦卢,2001,11.57832847876547,3.855730964741521,3.0
土库曼斯坦,2001,2218.3297503205263,1524.2732622580627,3.0
土耳其,2001,62791.41050529937,10021.835242671199,2.0
